parti,nuance,1984,,1989,,1994,,1999,,2004,,2009,,2014,,2019,,2024,
,,voix,sièges,voix,sièges,voix,sièges,voix,sièges,voix,sièges,voix,sièges,voix,sièges,voix,sièges,voix,sièges
Les Verts,centregauche_gauche,,,,,,,,,"7,41",6,,,,,,,,
Parti communiste français,extremegauche_gaucheradicale,,,,,,,,,"5,25",2,,,,,,,,
Divers,autre,,,,,,,,,"3,42",0,,,,,,,,
Extrême gauche,extremegauche_gaucheradicale,,,,,,,,,"3,33",0,,,,,,,,
"Chasse, pêche, nature et traditions",autre,,,,,,,,,"1,73",0,,,,,,,,
Divers gauche,centregauche_gauche,,,,,,,,,"1,35",1,,,,,,,,
Écologiste,centregauche_gauche,,,,,,,,,"0,97",0,,,,,,,,
Extrême droite,centredroite_droite,,,,,,,,,"0,31",0,,,,,,,,
Régionaliste,autre,,,,,,,,,"0,09",0,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Majorité présidentielle
UMP - NC - LGM",centredroite_droite,,,,,,,,,,,"27,88",29,,,,,,
Parti socialiste,centregauche_gauche,,,,,,,,,,,"16,48",14,,,,,,
"Europe Écologie
Les Verts - R&PS",centregauche_gauche,,,,,,,,,,,"16,28",14,,,,,,
Mouvement démocrate,centredroite_droite,,,,,,,,,,,"8,46",6,,,,,,
"Front de gauche
PCF - PG - GU
Alliance des Outre-mers[103]",extremegauche_gaucheradicale,,,,,,,,,,,"6,05

0,42","4

1",,,,,,
Front national,extremedroite_droiteradicale,,,,,,,,,,,"6,34",3,,,,,,
Nouveau Parti anticapitaliste,extremegauche_gaucheradicale,,,,,,,,,,,"4,88",0,,,,,,
"Libertas
MPF - CPNT",autre,,,,,,,,,,,"4,8",1,,,,,,
"Alliance écologiste indépendante
MEI - GE - LFA",autre,,,,,,,,,,,"3,63",0,,,,,,
Debout la République,extremedroite_droiteradicale,,,,,,,,,,,"1,77",0,,,,,,
Lutte ouvrière,extremegauche_gaucheradicale,,,,,,,,,,,"1,2",0,,,,,,
Autres,autre,,,,,,,,,,,"1,81",0,,,,,,
,,,,,,,,,,,,,,,,,,,
Front national - Rassemblement bleu Marine,extremedroite_droiteradicale,,,,,,,,,,,,,"24,86",24,,,,
Union pour un mouvement populaire,centredroite_droite,,,,,,,,,,,,,"20,81",20,,,,
Parti socialiste - Parti radical de gauche,centregauche_gauche,,,,,,,,,,,,,"13,98",13,,,,
L'Alternative • Union des démocrates et indépendants - Mouvement démocrate,centredroite_droite,,,,,,,,,,,,,"9,94",7,,,,
Europe Écologie Les Verts,centregauche_gauche,,,,,,,,,,,,,"8,95",6,,,,
Front de gauche - L'Union pour les Outremer,extremegauche_gaucheradicale,,,,,,,,,,,,,"6,61",4,,,,
Debout la République,extremedroite_droiteradicale,,,,,,,,,,,,,"3,82",0,,,,
Nouvelle Donne,centregauche_gauche,,,,,,,,,,,,,"2,9",0,,,,
Nous Citoyens,centredroite_droite,,,,,,,,,,,,,"1,41",0,,,,
Lutte ouvrière,extremegauche_gaucheradicale,,,,,,,,,,,,,"1,17",0,,,,
Alliance écologiste indépendante,autre,,,,,,,,,,,,,"1,12",0,,,,
Force vie • Parti chrétien-démocrate - Maison de la vie et des libertés - Parti de la France,extremedroite_droiteradicale,,,,,,,,,,,,,"0,74",0,,,,
Cap21,autre,,,,,,,,,,,,,"0,67",0,,,,
Parti du vote blanc,autre,,,,,,,,,,,,,"0,58",0,,,,
Union populaire républicaine,extremedroite_droiteradicale,,,,,,,,,,,,,"0,41",0,,,,
Nouveau Parti anticapitaliste,extremegauche_gaucheradicale,,,,,,,,,,,,,"0,39",0,,,,
Régions et peuples solidaires,autre,,,,,,,,,,,,,"0,34",0,,,,
Parti pirate,autre,,,,,,,,,,,,,"0,21",0,,,,
Europe Démocratie Espéranto,autre,,,,,,,,,,,,,"0,17",0,,,,
« Féministes pour une Europe solidaire »,autre,,,,,,,,,,,,,"0,14",0,,,,
Parti fédéraliste,autre,,,,,,,,,,,,,"0,09",0,,,,
Europe Décroissance,extremegauche_gaucheradicale,,,,,,,,,,,,,"0,02",0,,,,
Communistes,extremegauche_gaucheradicale,,,,,,,,,,,,,"0,02",0,,,,
Démocratie réelle,autre,,,,,,,,,,,,,"0,02",0,,,,
Alliance royale,extremedroite_droiteradicale,,,,,,,,,,,,,"0,02",0,,,,
Autres,autre,,,,,,,,,,,,,"0,59",0,,,,
,,,,,,,,,,,,,,,,,,,
"Prenez le pouvoir, liste soutenue par Marine Le Pen 
Rassemblement national",extremedroite_droiteradicale,,,,,,,,,,,,,,,"23,34",22,,
"Renaissance soutenue par La République en marche, le MoDem et ses partenaires 
La République en marche, Mouvement démocrate, Agir, Mouvement radical, Union des démocrates et des écologistes et Alliance centriste",centredroite_droite,,,,,,,,,,,,,,,"22,42",21,,
"Europe Écologie 
Europe Écologie Les Verts, Alliance écologiste indépendante et Régions et peuples solidaires",centregauche_gauche,,,,,,,,,,,,,,,"13,48",12,,
"Union de la droite et du centre 
Les Républicains, Les Centristes et Chasse, pêche, nature et traditions",centredroite_droite,,,,,,,,,,,,,,,"8,48",8,,
"La France insoumise 
La France insoumise, Parti de gauche, Gauche républicaine et socialiste et Mouvement républicain et citoyen",extremegauche_gaucheradicale,,,,,,,,,,,,,,,"6,31",6,,
"Envie d'Europe écologique et sociale 
Parti socialiste, Place publique, Nouvelle Donne et Parti radical de gauche",centregauche_gauche,,,,,,,,,,,,,,,"6,19",5,,
"Le courage de défendre les Français avec Nicolas Dupont-Aignan. Debout la France ! – CNIP 
Debout la France et Centre national des indépendants et paysans",extremedroite_droiteradicale,,,,,,,,,,,,,,,"3,51",0,,
"Liste citoyenne du Printemps européen avec Benoît Hamon soutenue par Génération.s et DéME-DiEM25 
Génération.s",centregauche_gauche,,,,,,,,,,,,,,,"3,27",0,,
"Les Européens 
Union des démocrates et indépendants, Force européenne démocrate et La Gauche moderne",centredroite_droite,,,,,,,,,,,,,,,"2,5",0,,
